name,dataset,isData,globalTag,,,,,,,,run
THQ_4f_Hincl_13TeV_madgraph_pythia8,/THQ_4f_Hincl_13TeV_madgraph_pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
,,,,,,,,,,,
TTToSemiLeptonic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v1/MINIAODSIM,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTToSemiLeptonic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8_new_pmx,/TTToSemiLeptonic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v2/MINIAODSIM ,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTTo2L2Nu_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM ,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTTo2L2Nu_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8_new_pmx,/TTTo2L2Nu_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM ,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTToHadronic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8_new_pmx,/TTToHadronic_hdampDOWN_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1/MINIAODSIM,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTToHadronic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8_v2,/TTToHadronic_hdampUP_TuneCP5_PSweights_13TeV-powheg-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTbb_Powheg_Openloops_new_pmx,/TTbb_Powheg_Openloops/asaibel-RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1-18783c0a07109245951450a1a4f55409/USER,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
TTbb_Powheg_Helac_new_pmx,/TTbb_Powheg_Helac/asaibel-TTbbInclusive-RunIIFall17MiniAODv2-PU2017_12Apr2018_new_pmx_94X_mc2017_realistic_v14-v1-18783c0a07109245951450a1a4f55409/USER,FALSE,94X_mc2017_realistic_v17 ,,,,,,,,2017
,,,,,,,,,,,
SingleElectron_Run2017B,/SingleElectron/Run2017B-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017B
SingleElectron_Run2017C,/SingleElectron/Run2017C-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017C
SingleElectron_Run2017D,/SingleElectron/Run2017D-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017D
SingleElectron_Run2017E,/SingleElectron/Run2017E-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017E
SingleElectron_Run2017F,/SingleElectron/Run2017F-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017F
,,,,,,,,,,,
SingleMuon_Run2017B,/SingleMuon/Run2017B-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017B
SingleMuon_Run2017C,/SingleMuon/Run2017C-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017C
SingleMuon_Run2017D,/SingleMuon/Run2017D-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017D
SingleMuon_Run2017E,/SingleMuon/Run2017E-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017E
SingleMuon_Run2017F,/SingleMuon/Run2017F-31Mar2018-v1/MINIAOD,TRUE,94X_dataRun2_v11 ,,,,,,,,2017F
